protein_id	beg	end	prokka_function
PDPDEDFA_00454	15037	15565	hypothetical protein
PDPDEDFA_00455	15594	16107	hypothetical protein
PDPDEDFA_00456	16270	16714	hypothetical protein
PDPDEDFA_00457	17094	17583	Inorganic pyrophosphatase
PDPDEDFA_00458	17737	18847	hypothetical protein
PDPDEDFA_00459	18847	19348	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
PDPDEDFA_00460	19329	20355	hypothetical protein
PDPDEDFA_00461	20421	21447	tRNA N6-adenosine threonylcarbamoyltransferase
PDPDEDFA_00462	21801	22029	hypothetical protein
PDPDEDFA_00463	22421	23108	hypothetical protein
PDPDEDFA_00464	23144	23558	hypothetical protein
PDPDEDFA_00465	23737	24442	hypothetical protein
PDPDEDFA_00466	45	411	hypothetical protein
PDPDEDFA_00467	453	699	hypothetical protein
PDPDEDFA_00468	1315	2656	hypothetical protein
PDPDEDFA_00469	2933	3647	hypothetical protein
PDPDEDFA_00470	3998	4871	dTDP-4-dehydrorhamnose reductase
PDPDEDFA_00471	5088	5805	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
PDPDEDFA_00472	5815	6841	dTDP-glucose 4,6-dehydratase
PDPDEDFA_00473	7072	8323	dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase
PDPDEDFA_00474	8692	9109	hypothetical protein
PDPDEDFA_00475	9405	11694	hypothetical protein
PDPDEDFA_00476	11814	13893	hypothetical protein
PDPDEDFA_00477	14041	14422	hypothetical protein
PDPDEDFA_00478	86	1136	hypothetical protein
PDPDEDFA_00479	1338	2217	hypothetical protein
PDPDEDFA_00480	2213	3038	endonuclease 4
PDPDEDFA_00481	3192	4206	HTH-type transcriptional repressor PurR
PDPDEDFA_00482	4226	4349	hypothetical protein
PDPDEDFA_00483	4429	5155	Glutamine transport ATP-binding protein GlnQ
PDPDEDFA_00484	5282	5966	L-cystine transport system permease protein YecS
PDPDEDFA_00485	6192	6981	Arginine-binding extracellular protein ArtP
PDPDEDFA_00486	7292	8642	hypothetical protein
PDPDEDFA_00487	9195	10482	hypothetical protein
PDPDEDFA_00488	10478	11261	hypothetical protein
PDPDEDFA_00489	11556	12069	hypothetical protein
PDPDEDFA_00490	12369	13608	Macrolide export ATP-binding/permease protein MacB
PDPDEDFA_00491	13613	14384	putative ABC transporter ATP-binding protein YknY
PDPDEDFA_00492	14399	15851	p-hydroxybenzoic acid efflux pump subunit AaeA
PDPDEDFA_00493	16182	16689	hypothetical protein
PDPDEDFA_00494	17188	19630	hypothetical protein
PDPDEDFA_00495	20287	21178	hypothetical protein
PDPDEDFA_00496	21399	21795	Transcriptional regulatory protein WalR
PDPDEDFA_00497	21876	23040	Adaptive-response sensory-kinase SasA
PDPDEDFA_00498	23239	23926	hypothetical protein
PDPDEDFA_00499	24167	25241	RNA polymerase sigma factor SigA
PDPDEDFA_00500	25603	25870	hypothetical protein
PDPDEDFA_00501	26277	28218	putative ABC transporter ATP-binding protein
PDPDEDFA_00502	28214	30479	Vitamin B12 import ATP-binding protein BtuD
PDPDEDFA_00503	30690	31170	putative HTH-type transcriptional regulator YusO
PDPDEDFA_00504	97	1012	Nucleotide-binding protein
PDPDEDFA_00505	1223	2234	Glyceraldehyde-3-phosphate dehydrogenase
PDPDEDFA_00506	2457	3654	Phosphoglycerate kinase
PDPDEDFA_00507	3687	4443	Triosephosphate isomerase
PDPDEDFA_00508	24	459	hypothetical protein
PDPDEDFA_00509	458	884	hypothetical protein
PDPDEDFA_00510	1216	2554	hypothetical protein
PDPDEDFA_00511	2824	4051	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
PDPDEDFA_00512	4440	4650	hypothetical protein
PDPDEDFA_00513	4830	5160	Serine/threonine-protein kinase toxin HipA
PDPDEDFA_00514	5353	6421	hypothetical protein
PDPDEDFA_00515	6351	8736	hypothetical protein
PDPDEDFA_00516	9195	9735	hypothetical protein
PDPDEDFA_00517	9783	10122	hypothetical protein
PDPDEDFA_00518	10357	11422	hypothetical protein
PDPDEDFA_00519	11841	12117	hypothetical protein
PDPDEDFA_00520	12113	12677	hypothetical protein
PDPDEDFA_00521	12701	14264	hypothetical protein
PDPDEDFA_00522	14462	14711	hypothetical protein
PDPDEDFA_00523	14692	15250	hypothetical protein
PDPDEDFA_00524	15242	16631	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
PDPDEDFA_00525	16859	17099	hypothetical protein
PDPDEDFA_00526	17099	17513	Ribonuclease VapC26
PDPDEDFA_00527	17666	18257	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase
PDPDEDFA_00528	18286	20215	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
PDPDEDFA_00529	20225	22649	Transcriptional regulator LytR
PDPDEDFA_00530	22937	24233	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
PDPDEDFA_00531	24481	25576	Cyclic di-GMP phosphodiesterase response regulator RpfG
PDPDEDFA_00532	25565	28550	Sensor histidine kinase RcsC
PDPDEDFA_00533	28610	29495	Chemotaxis protein methyltransferase
PDPDEDFA_00534	29774	30164	ATP synthase epsilon chain
PDPDEDFA_00535	30456	31911	ATP synthase subunit beta
PDPDEDFA_00536	31946	32888	ATP synthase gamma chain
PDPDEDFA_00537	32922	34434	ATP synthase subunit alpha
PDPDEDFA_00538	34417	35005	ATP synthase subunit delta
PDPDEDFA_00539	35051	35555	ATP synthase subunit b
PDPDEDFA_00540	36157	36388	ATP synthase subunit c
PDPDEDFA_00541	36453	37188	ATP synthase subunit a
PDPDEDFA_00542	37556	38123	hypothetical protein
PDPDEDFA_00543	38156	39179	Galactose-1-phosphate uridylyltransferase
PDPDEDFA_00544	39331	39697	Response regulator MprA
PDPDEDFA_00545	39778	41599	Adaptive-response sensory-kinase SasA
PDPDEDFA_00546	41629	43255	Glycogen synthase
PDPDEDFA_00547	43655	45917	1,4-alpha-glucan branching enzyme GlgB
PDPDEDFA_00548	46142	48698	hypothetical protein
PDPDEDFA_00549	48849	50787	hypothetical protein
PDPDEDFA_00550	50882	52148	Glucose-1-phosphate adenylyltransferase
PDPDEDFA_00551	52405	52921	tRNA-specific adenosine deaminase
PDPDEDFA_00552	53475	53844	hypothetical protein
PDPDEDFA_00553	53836	54508	Threonylcarbamoyl-AMP synthase
PDPDEDFA_00554	54521	55247	hypothetical protein
PDPDEDFA_00555	413	875	hypothetical protein
PDPDEDFA_00556	1037	1907	Glycine--tRNA ligase alpha subunit
PDPDEDFA_00557	1968	4143	Glycine--tRNA ligase beta subunit
PDPDEDFA_00558	4259	5915	hypothetical protein
PDPDEDFA_00559	6235	8884	Pyruvate, phosphate dikinase
PDPDEDFA_00560	238	700	50S ribosomal protein L7/L12
PDPDEDFA_00561	700	874	hypothetical protein
PDPDEDFA_00562	891	1419	50S ribosomal protein L10
PDPDEDFA_00563	1729	2437	50S ribosomal protein L1
PDPDEDFA_00564	2444	2870	50S ribosomal protein L11
PDPDEDFA_00565	2961	3486	Transcription termination/antitermination protein NusG
PDPDEDFA_00566	3604	3919	Protein translocase subunit SecE
PDPDEDFA_00570	925	1591	hypothetical protein
PDPDEDFA_00571	1630	1960	hypothetical protein
PDPDEDFA_00572	1963	3457	hypothetical protein
PDPDEDFA_00573	3666	4290	dITP/XTP pyrophosphatase
PDPDEDFA_00574	4536	5283	Ribonuclease PH
PDPDEDFA_00575	5466	6417	Glutamate racemase
PDPDEDFA_00576	6910	7768	3-oxoacyl-[acyl-carrier-protein] reductase FabG
PDPDEDFA_00577	8069	8336	hypothetical protein
PDPDEDFA_00578	8566	10084	Hopanoid C-2 methylase
PDPDEDFA_00579	10588	11599	RNA polymerase sigma factor SigA
PDPDEDFA_00580	11668	12322	hypothetical protein
PDPDEDFA_00581	12311	13304	hypothetical protein
PDPDEDFA_00582	124	571	Toxin-antitoxin biofilm protein TabA
PDPDEDFA_00583	659	1880	2-isopropylmalate synthase
PDPDEDFA_00584	1928	2711	3-oxoacyl-[acyl-carrier-protein] reductase FabG
PDPDEDFA_00585	21	696	hypothetical protein
PDPDEDFA_00586	971	3878	Monofunctional biosynthetic peptidoglycan transglycosylase
PDPDEDFA_00587	4266	5496	Tyrosine--tRNA ligase
PDPDEDFA_00589	356	962	hypothetical protein
PDPDEDFA_00590	1116	1536	hypothetical protein
PDPDEDFA_00592	1926	3123	Fosmidomycin resistance protein
PDPDEDFA_00593	3725	5855	Holliday junction ATP-dependent DNA helicase RuvB
PDPDEDFA_00594	5854	6160	Nucleoid-associated protein
PDPDEDFA_00595	6360	6960	Recombination protein RecR
PDPDEDFA_00596	7310	10853	Pyruvate synthase
PDPDEDFA_00597	11011	12268	Aspartate kinase Ask_LysC
PDPDEDFA_00598	12270	13284	Aspartate-semialdehyde dehydrogenase
PDPDEDFA_00599	13285	14677	Replication-associated recombination protein A
PDPDEDFA_00600	15241	15862	hypothetical protein
PDPDEDFA_00601	16371	17394	5-dehydro-2-deoxygluconokinase
PDPDEDFA_00602	17492	18302	S-methyl-5'-thioadenosine phosphorylase
PDPDEDFA_00603	18663	19557	Phosphoribosylaminoimidazole-succinocarboxamide synthase
PDPDEDFA_00604	19576	20548	2-phosphosulfolactate phosphatase
PDPDEDFA_00605	20742	21393	hypothetical protein
PDPDEDFA_00606	21541	21943	hypothetical protein
PDPDEDFA_00607	22014	22380	hypothetical protein
PDPDEDFA_00608	22510	23896	Metalloprotease TldD
PDPDEDFA_00609	23908	25267	Metalloprotease PmbA
PDPDEDFA_00610	25456	26473	Undecaprenyl-diphosphatase
PDPDEDFA_00611	26469	27195	Glucose-1-phosphate thymidylyltransferase
PDPDEDFA_00612	27191	27461	hypothetical protein
PDPDEDFA_00613	27673	28000	Thioredoxin 1
PDPDEDFA_00614	28006	28789	hypothetical protein
PDPDEDFA_00615	29125	32272	mupirocin-resistant isoleucine--tRNA ligase MupB
PDPDEDFA_00616	32275	32848	Lipoprotein signal peptidase
PDPDEDFA_00617	32831	33917	Ribosomal large subunit pseudouridine synthase D
PDPDEDFA_00618	33942	34230	hypothetical protein
PDPDEDFA_00619	34390	35371	hypothetical protein
PDPDEDFA_00620	35372	36428	Vitamin B12 import ATP-binding protein BtuD
PDPDEDFA_00621	36430	37360	hypothetical protein
PDPDEDFA_00622	37806	38241	HTH-type transcriptional regulator CymR
PDPDEDFA_00623	38472	39429	1,4-dihydroxy-2-naphthoate octaprenyltransferase
PDPDEDFA_00624	39502	40663	Putative mycofactocin radical SAM maturase MftC
PDPDEDFA_00625	40942	41161	Fe/S biogenesis protein NfuA
PDPDEDFA_00626	41438	42011	Galactose-6-phosphate isomerase subunit LacB
PDPDEDFA_00627	42475	43024	Bifunctional protein PyrR
PDPDEDFA_00628	43061	43994	Aspartate carbamoyltransferase
PDPDEDFA_00629	44011	45385	Dihydroorotase
PDPDEDFA_00630	45529	46744	Carbamoyl-phosphate synthase small chain
PDPDEDFA_00631	216	684	6,7-dimethyl-8-ribityllumazine synthase
PDPDEDFA_00632	859	2056	Riboflavin biosynthesis protein RibBA
PDPDEDFA_00633	2030	2711	Riboflavin synthase
PDPDEDFA_00634	2950	4312	Riboflavin biosynthesis protein RibD
PDPDEDFA_00635	4869	5607	hypothetical protein
PDPDEDFA_00636	5603	6479	Putative electron transport protein YccM
PDPDEDFA_00637	6755	7460	Ribulose-phosphate 3-epimerase
PDPDEDFA_00638	7693	8260	Flavoredoxin
PDPDEDFA_00639	8570	8762	Ferredoxin
PDPDEDFA_00640	9004	10441	hypothetical protein
PDPDEDFA_00641	10733	11954	NAD-dependent malic enzyme
PDPDEDFA_00642	12218	13382	Long-chain-alcohol dehydrogenase 2
PDPDEDFA_00643	13527	14109	hypothetical protein
PDPDEDFA_00644	14487	15738	hypothetical protein
PDPDEDFA_00645	16037	16748	Protoheme IX farnesyltransferase
PDPDEDFA_00646	16961	17378	hypothetical protein
PDPDEDFA_00647	17571	18981	Outer membrane protein assembly factor BamD
PDPDEDFA_00648	18985	19534	Bifunctional AAC/APH
PDPDEDFA_00649	19808	19970	Rubredoxin
PDPDEDFA_00650	19966	20374	hypothetical protein
PDPDEDFA_00651	20569	21787	hypothetical protein
PDPDEDFA_00652	22018	22240	hypothetical protein
PDPDEDFA_00653	22217	22970	hypothetical protein
PDPDEDFA_00654	23101	23620	hypothetical protein
PDPDEDFA_00655	23812	24334	hypothetical protein
PDPDEDFA_00656	24471	25317	hypothetical protein
PDPDEDFA_00657	25579	27562	hypothetical protein
PDPDEDFA_00658	27582	28395	Sec-independent protein translocase protein TatCy
PDPDEDFA_00659	28493	28757	Sec-independent protein translocase protein TatA
PDPDEDFA_00660	29065	30700	hypothetical protein
PDPDEDFA_00661	30772	31405	hypothetical protein
PDPDEDFA_00662	31553	32015	hypothetical protein
PDPDEDFA_00663	32210	32987	hypothetical protein
PDPDEDFA_00664	32979	33165	hypothetical protein
PDPDEDFA_00665	33148	33739	hypothetical protein
PDPDEDFA_00666	34007	34568	hypothetical protein
PDPDEDFA_00667	34579	35416	hypothetical protein
PDPDEDFA_00668	121	1117	Autoinducer 2 import system permease protein LsrD
PDPDEDFA_00669	1153	1807	hypothetical protein
PDPDEDFA_00670	1875	2151	hypothetical protein
PDPDEDFA_00671	2202	2994	Galactose/methyl galactoside import ATP-binding protein MglA
PDPDEDFA_00672	114	1506	UDP-glucose 6-dehydrogenase TuaD
PDPDEDFA_00673	1600	2545	UDP-N-acetylglucosamine 4-epimerase
PDPDEDFA_00674	565	991	Peroxiredoxin OsmC
PDPDEDFA_00675	1396	2191	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE
PDPDEDFA_00676	2235	2967	hypothetical protein
PDPDEDFA_00677	3133	3478	hypothetical protein
PDPDEDFA_00678	3725	4385	hypothetical protein
PDPDEDFA_00679	4428	4656	hypothetical protein
PDPDEDFA_00680	4662	5601	Thioredoxin reductase
PDPDEDFA_00681	5612	6101	Glutathione peroxidase BsaA
PDPDEDFA_00682	6286	6865	hypothetical protein
PDPDEDFA_00683	6873	7521	dTDP-4-dehydrorhamnose 3,5-epimerase
PDPDEDFA_00684	7841	9167	hypothetical protein
PDPDEDFA_00685	9239	9503	hypothetical protein
PDPDEDFA_00686	9614	9929	hypothetical protein
PDPDEDFA_00687	10031	10826	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE
PDPDEDFA_00689	11320	12661	Xylulose kinase
PDPDEDFA_00690	12666	13431	NAD-dependent glycerol dehydrogenase
PDPDEDFA_00691	13588	14608	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
PDPDEDFA_00692	15147	15654	hypothetical protein
PDPDEDFA_00693	15658	15949	hypothetical protein
PDPDEDFA_00694	16496	17012	hypothetical protein
PDPDEDFA_00695	17268	18156	Putative acetyl-hydrolase LipR
PDPDEDFA_00696	18285	19428	Adaptive-response sensory-kinase SasA
PDPDEDFA_00697	19617	20295	Transcriptional regulatory protein TcrA
PDPDEDFA_00698	20505	20781	mRNA interferase toxin YafQ
PDPDEDFA_00699	20777	21053	hypothetical protein
PDPDEDFA_00700	21178	22699	Flavohemoprotein
PDPDEDFA_00701	22892	23648	hypothetical protein
PDPDEDFA_00702	23847	24600	hypothetical protein
PDPDEDFA_00703	24982	26251	hypothetical protein
PDPDEDFA_00704	26615	26792	hypothetical protein
PDPDEDFA_00705	27014	27950	putative GTP-binding protein YjiA
PDPDEDFA_00706	27946	29575	Uroporphyrinogen decarboxylase
PDPDEDFA_00707	29744	30005	hypothetical protein
PDPDEDFA_00708	30004	31510	Ferredoxin--NADP reductase
PDPDEDFA_00709	31506	33033	L-2-hydroxyglutarate oxidase LhgO
PDPDEDFA_00710	33061	34066	hypothetical protein
PDPDEDFA_00711	33	471	hypothetical protein
PDPDEDFA_00712	742	1867	hypothetical protein
PDPDEDFA_00713	1870	3427	Periplasmic [NiFe] hydrogenase large subunit
PDPDEDFA_00714	3441	4095	hypothetical protein
PDPDEDFA_00715	4072	4558	Hydrogenase 2 maturation protease
PDPDEDFA_00716	4557	4902	hydrogenase nickel incorporation protein HypA
PDPDEDFA_00717	5197	6223	Transcription termination/antitermination protein NusA
PDPDEDFA_00718	6356	9326	Elongation factor 4
PDPDEDFA_00719	9337	9682	Ribosome-binding factor A
PDPDEDFA_00720	9689	10676	Bifunctional oligoribonuclease and PAP phosphatase NrnA
PDPDEDFA_00721	10705	10885	hypothetical protein
PDPDEDFA_00722	11070	11529	tRNA pseudouridine synthase B
PDPDEDFA_00723	11702	12740	Riboflavin biosynthesis protein RibF
PDPDEDFA_00724	12774	13044	30S ribosomal protein S15
PDPDEDFA_00725	13106	15275	Polyribonucleotide nucleotidyltransferase
PDPDEDFA_00726	15852	16950	putative zinc protease
PDPDEDFA_00727	16946	17753	4-hydroxy-tetrahydrodipicolinate reductase
PDPDEDFA_00728	18006	18885	4-hydroxy-tetrahydrodipicolinate synthase
PDPDEDFA_00729	19101	20784	Ribonuclease J1
PDPDEDFA_00730	75	537	hypothetical protein
PDPDEDFA_00731	2163	3078	Quinolinate synthase A
PDPDEDFA_00732	3141	4929	hypothetical protein
PDPDEDFA_00733	4971	5844	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
PDPDEDFA_00734	6265	7252	Inosose dehydratase
PDPDEDFA_00735	7365	8199	putative NTE family protein
PDPDEDFA_00736	8690	10052	2,2-dialkylglycine decarboxylase
PDPDEDFA_00737	10264	11413	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
PDPDEDFA_00738	11388	12171	HTH-type transcriptional repressor GlcR
PDPDEDFA_00739	12516	13614	Trehalose import ATP-binding protein SugC
PDPDEDFA_00740	13928	14576	Glycerol-3-phosphate acyltransferase
PDPDEDFA_00741	14650	15100	Transcriptional repressor NrdR
PDPDEDFA_00742	15215	16082	Lipid A biosynthesis lauroyltransferase
PDPDEDFA_00743	16251	16815	hypothetical protein
PDPDEDFA_00744	16986	17202	hypothetical protein
PDPDEDFA_00745	63	1059	hypothetical protein
PDPDEDFA_00746	1055	2672	hypothetical protein
PDPDEDFA_00747	2854	4306	Argininosuccinate lyase
PDPDEDFA_00748	4373	5582	Argininosuccinate synthase
PDPDEDFA_00749	5640	6096	Arginine repressor
PDPDEDFA_00750	6105	7026	Ornithine carbamoyltransferase
PDPDEDFA_00751	7093	8314	Acetylornithine aminotransferase
PDPDEDFA_00752	8328	9306	Acetylglutamate kinase
PDPDEDFA_00753	9289	9733	N-acetyl-gamma-glutamyl-phosphate reductase
PDPDEDFA_00754	311	3194	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
PDPDEDFA_00755	3332	4769	Flagellar hook-associated protein 2
PDPDEDFA_00756	4863	5277	Flagellar secretion chaperone FliS
PDPDEDFA_00757	5242	5635	hypothetical protein
PDPDEDFA_00758	5793	7476	hypothetical protein
PDPDEDFA_00759	8036	8420	Flagellar basal body rod protein FlgB
PDPDEDFA_00760	8427	8859	Flagellar basal-body rod protein FlgC
PDPDEDFA_00761	8953	9283	Flagellar hook-basal body complex protein FliE
PDPDEDFA_00762	9441	11286	hypothetical protein
PDPDEDFA_00763	11305	12325	Flagellar motor switch protein FliG
PDPDEDFA_00764	12383	13178	hypothetical protein
PDPDEDFA_00765	13346	14816	putative ATP synthase YscN
PDPDEDFA_00766	14833	15301	hypothetical protein
PDPDEDFA_00767	15290	16064	Membrane-bound lytic murein transglycosylase F
PDPDEDFA_00768	16109	17915	hypothetical protein
PDPDEDFA_00769	17950	18382	hypothetical protein
PDPDEDFA_00770	18645	18981	hypothetical protein
PDPDEDFA_00771	198	1713	Xylose import ATP-binding protein XylG
PDPDEDFA_00772	1774	2785	Ribose import permease protein RbsC
PDPDEDFA_00773	2883	3933	hypothetical protein
PDPDEDFA_00774	3993	4632	Kynurenine formamidase
PDPDEDFA_00775	4670	5708	Erythritol/L-threitol dehydrogenase
PDPDEDFA_00776	5889	6591	HTH-type transcriptional regulator LutR
PDPDEDFA_00777	6827	7220	Ribonuclease VapC10
PDPDEDFA_00778	7200	7470	hypothetical protein
PDPDEDFA_00779	7691	8450	Long-chain-alcohol dehydrogenase 2
PDPDEDFA_00780	32	704	hypothetical protein
PDPDEDFA_00781	704	2198	Xylulose kinase
PDPDEDFA_00782	2217	3270	L-galactonate-5-dehydrogenase
PDPDEDFA_00783	3273	4701	hypothetical protein
PDPDEDFA_00784	4808	5990	hypothetical protein
PDPDEDFA_00785	6289	7507	N-acetylglucosamine repressor
PDPDEDFA_00786	7593	7872	Endoribonuclease HigB
PDPDEDFA_00787	7884	8193	putative HTH-type transcriptional regulator YbaQ
PDPDEDFA_00788	8256	8430	hypothetical protein
PDPDEDFA_00789	8530	9304	Dihydroanticapsin 7-dehydrogenase
PDPDEDFA_00790	9560	11615	Transketolase
PDPDEDFA_00791	12388	14071	hypothetical protein
PDPDEDFA_00792	14388	15375	hypothetical protein
PDPDEDFA_00793	15576	16623	putative zinc-type alcohol dehydrogenase-like protein YdjJ
PDPDEDFA_00794	16783	17584	Gluconate 5-dehydrogenase
PDPDEDFA_00795	17749	18730	2-oxoisovalerate dehydrogenase subunit beta
PDPDEDFA_00796	18732	19728	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
PDPDEDFA_00797	20000	20858	3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
PDPDEDFA_00798	20937	21990	D-arabitol-phosphate dehydrogenase
PDPDEDFA_00799	22074	22317	hypothetical protein
PDPDEDFA_00800	22522	23506	Pyruvate dehydrogenase E1 component subunit beta
PDPDEDFA_00801	23506	24493	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
PDPDEDFA_00802	24608	25637	2-dehydro-3-deoxygluconokinase
PDPDEDFA_00803	25664	26621	hypothetical protein
PDPDEDFA_00804	26785	27748	Glycerate dehydrogenase
PDPDEDFA_00805	718	1123	hypothetical protein
PDPDEDFA_00806	1428	2436	Putative lipoprotein YerB
PDPDEDFA_00807	2707	3802	putative oxidoreductase YjmC
PDPDEDFA_00808	3931	4531	hypothetical protein
PDPDEDFA_00809	4552	4921	hypothetical protein
PDPDEDFA_00810	5151	6525	hypothetical protein
PDPDEDFA_00811	6529	7390	3-methyl-2-oxobutanoate hydroxymethyltransferase
PDPDEDFA_00812	7507	8677	1,3-propanediol dehydrogenase
PDPDEDFA_00813	8829	9873	hypothetical protein
PDPDEDFA_00814	10127	11189	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
PDPDEDFA_00815	11219	12008	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE
PDPDEDFA_00816	12143	12311	Dihydrolipoyl dehydrogenase
PDPDEDFA_00817	28	2203	hypothetical protein
PDPDEDFA_00818	2228	2759	O-acetyl-ADP-ribose deacetylase
PDPDEDFA_00819	2984	3878	hypothetical protein
PDPDEDFA_00820	4043	4736	hypothetical protein
PDPDEDFA_00821	5163	6096	hypothetical protein
PDPDEDFA_00822	76	496	Uroporphyrinogen decarboxylase
PDPDEDFA_00823	1252	2326	hypothetical protein
PDPDEDFA_00824	2434	3946	Xylose import ATP-binding protein XylG
PDPDEDFA_00825	3982	4999	Ribose import permease protein RbsC
PDPDEDFA_00826	5035	6094	Ribose import permease protein RbsC
PDPDEDFA_00827	6330	6741	hypothetical protein
PDPDEDFA_00828	6763	7915	hypothetical protein
PDPDEDFA_00829	7958	9200	hypothetical protein
PDPDEDFA_00830	9253	10150	hypothetical protein
PDPDEDFA_00831	10146	11112	1-deoxy-D-xylulose-5-phosphate synthase
PDPDEDFA_00832	11136	12132	Starvation-sensing protein RspB
PDPDEDFA_00833	12340	12760	hypothetical protein
PDPDEDFA_00834	13098	14346	hypothetical protein
PDPDEDFA_00835	14403	15339	Iron-sulfur cluster carrier protein
PDPDEDFA_00836	15505	16144	putative polyketide biosynthesis zinc-dependent hydrolase BaeB
PDPDEDFA_00837	16366	17722	2,2-dialkylglycine decarboxylase
PDPDEDFA_00838	17723	18512	Glucitol operon repressor
PDPDEDFA_00839	18648	19311	Glycerol-3-phosphate acyltransferase
PDPDEDFA_00840	19368	20220	hypothetical protein
PDPDEDFA_00841	20321	21680	Lactate racemase
PDPDEDFA_00842	21946	22915	hypothetical protein
PDPDEDFA_00843	276	660	hypothetical protein
PDPDEDFA_00844	767	1310	hypothetical protein
PDPDEDFA_00845	1547	2741	hypothetical protein
PDPDEDFA_00846	2884	3253	hypothetical protein
PDPDEDFA_00847	3360	4728	hypothetical protein
PDPDEDFA_00848	4961	6707	hypothetical protein
PDPDEDFA_00849	7014	8493	Xylulose kinase
PDPDEDFA_00850	8507	9518	HTH-type transcriptional regulator DegA
PDPDEDFA_00851	9793	10663	hypothetical protein
PDPDEDFA_00852	11126	11834	hypothetical protein
PDPDEDFA_00853	11858	13106	hypothetical protein
PDPDEDFA_00854	13162	13555	Ribonuclease VapC4
PDPDEDFA_00855	13545	13809	hypothetical protein
PDPDEDFA_00856	14068	14650	hypothetical protein
PDPDEDFA_00857	14787	14877	hypothetical protein
PDPDEDFA_00858	519	774	50S ribosomal protein L27
PDPDEDFA_00859	1670	1997	hypothetical protein
PDPDEDFA_00860	1997	2564	hypothetical protein
PDPDEDFA_00861	2616	3213	hypothetical protein
PDPDEDFA_00862	3356	4559	Sulfoxide reductase catalytic subunit YedY
PDPDEDFA_00863	4822	5131	hypothetical protein
PDPDEDFA_00864	5475	6663	hypothetical protein
PDPDEDFA_00865	6868	8542	Ribonuclease G
PDPDEDFA_00866	8589	9528	hypothetical protein
PDPDEDFA_00867	9580	11647	hypothetical protein
PDPDEDFA_00868	11823	13032	Peptidoglycan glycosyltransferase MrdB
PDPDEDFA_00869	13073	14930	Peptidoglycan D,D-transpeptidase MrdA
PDPDEDFA_00870	14901	15420	hypothetical protein
PDPDEDFA_00871	15423	16236	hypothetical protein
PDPDEDFA_00872	16289	17321	Rod shape-determining protein MreB
PDPDEDFA_00873	17360	18014	Septum formation protein Maf
PDPDEDFA_00874	17982	18237	hypothetical protein
PDPDEDFA_00875	18422	18872	hypothetical protein
PDPDEDFA_00876	18880	20206	Dihydrofolate synthase/folylpolyglutamate synthase
PDPDEDFA_00877	20331	23193	Valine--tRNA ligase
PDPDEDFA_00878	23193	24474	ATP-dependent Clp protease ATP-binding subunit ClpX
PDPDEDFA_00879	24491	25088	ATP-dependent Clp protease proteolytic subunit
PDPDEDFA_00880	25071	26556	Trigger factor
PDPDEDFA_00883	39	747	hypothetical protein
PDPDEDFA_00884	936	2292	hypothetical protein
PDPDEDFA_00885	538	1300	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
PDPDEDFA_00886	1512	2709	D-inositol-3-phosphate glycosyltransferase
PDPDEDFA_00887	2799	2982	hypothetical protein
PDPDEDFA_00888	2939	4889	hypothetical protein
PDPDEDFA_00889	4890	5679	Polyprenol monophosphomannose synthase
PDPDEDFA_00890	5850	6489	hypothetical protein
PDPDEDFA_00891	6751	7972	hypothetical protein
PDPDEDFA_00892	268	772	hypothetical protein
PDPDEDFA_00893	1030	1501	hypothetical protein
PDPDEDFA_00894	1584	2592	Putative mycofactocin radical SAM maturase MftC
PDPDEDFA_00895	2817	3801	Aldo-keto reductase YhdN
PDPDEDFA_00896	4129	5197	hypothetical protein
PDPDEDFA_00897	5201	7616	Prodigiosin synthesizing transferase PigC
PDPDEDFA_00898	7888	8065	hypothetical protein
PDPDEDFA_00899	8083	10828	hypothetical protein
PDPDEDFA_00900	10949	11987	hypothetical protein
PDPDEDFA_00901	12036	13185	hypothetical protein
PDPDEDFA_00902	13181	14111	Sporulation initiation inhibitor protein Soj
PDPDEDFA_00903	14241	14826	hypothetical protein
PDPDEDFA_00904	15404	15782	hypothetical protein
PDPDEDFA_00905	80	899	Caffeyl-CoA reductase-Etf complex subunit CarD
