genome_name	original_name	genome_size	completeness	redundancy	taxonomy	gtdb_taxonomy	filename
bacteria07317	GCA_001789205.1	5.43	97.8021978021978	2.197802197802198	Candidatus Raymondbacteria bacterium RIFOXYA2_FULL_49_16	d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__;g__;s__	bacteria07317.fna
bacteria07318	GCA_001789215.1	4.91	74.17484476308006	0	Candidatus Raymondbacteria bacterium RifOxyB12_full_50_8	d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__;g__;s__	bacteria07318.fna
bacteria07319	GCA_001789245.1	4.83	85.06493506493507	1.098901098901099	Candidatus Raymondbacteria bacterium RifOxyC12_full_50_8	d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__;g__;s__	bacteria07319.fna
bacteria07320	GCA_001789275.1	5.34	96.50937297996121	2.197802197802198	Candidatus Raymondbacteria bacterium RIFOXYD12_FULL_49_13	d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__;g__;s__	bacteria07320.fna
bacteria07594	GCA_001794965.1	3.37	99.0909090909091	0.9090909090909091	Chloroflexi bacterium GWD2_49_16	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__;s__	bacteria07594.fna
bacteria07622	GCA_001795535.1	2.08	65.38914490527394	2.0046082949308754	Deltaproteobacteria bacterium GWA2_54_12	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__;s__	bacteria07622.fna
bacteria07623	GCA_001795545.1	2.74	94.83870967741936	1.935483870967742	Deltaproteobacteria bacterium GWA2_55_82	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__GWC2-55-46;s__	bacteria07623.fna
bacteria07624	GCA_001795575.1	2.34	92.43697478991596	1.680672268907563	Deltaproteobacteria bacterium GWB2_65_81	d__Bacteria;p__MBNT15;c__MBNT15;o__MBNT15;f__MBNT15;g__CG2-30-66-27;s__	bacteria07624.fna
bacteria07662	GCA_001796335.1	3.37	99.0909090909091	0.9090909090909091	Chloroflexi bacterium GWB2_49_20	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__;s__	bacteria07662.fna
bacteria07664	GCA_001796365.1	3.41	99.0909090909091	0.9090909090909091	Chloroflexi bacterium GWC2_49_37	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__;s__	bacteria07664.fna
bacteria07713	GCA_001797355.1	2.18	79.33179723502305	0.6451612903225806	Deltaproteobacteria bacterium GWA2_43_19	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__	bacteria07713.fna
bacteria07716	GCA_001797415.1	2.24	72.32974910394266	2.5806451612903225	Deltaproteobacteria bacterium GWA2_55_10	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__GWC2-55-46;s__	bacteria07716.fna
bacteria07719	GCA_001797465.1	2.63	94.83870967741936	2.2580645161290325	Deltaproteobacteria bacterium GWB2_55_19	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__;s__	bacteria07719.fna
bacteria07723	GCA_001797525.1	5.45	97.8021978021978	2.197802197802198	Candidatus Raymondbacteria bacterium RIFOXYB2_FULL_49_35	d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__;g__;s__	bacteria07723.fna
bacteria07725	GCA_001797585.1	 2.4	86.40706605222734	0	Deltaproteobacteria bacterium GWD2_42_10	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__	bacteria07725.fna
bacteria07729	GCA_001797665.1	2.44	87.88018433179724	0.6451612903225806	Deltaproteobacteria bacterium GWF2_42_12	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__	bacteria07729.fna
bacteria07731	GCA_001797695.1	2.59	77.76753712237583	1.4516129032258065	Deltaproteobacteria bacterium RBG_13_49_15	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2156;g__;s__	bacteria07731.fna
bacteria07733	GCA_001797745.1	2.54	80	5.340501792114695	Deltaproteobacteria bacterium RBG_13_52_11	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__RBG-16-54-18;g__;s__	bacteria07733.fna
bacteria07738	GCA_001797845.1	2.43	93.87096774193549	1.3261648745519712	Deltaproteobacteria bacterium RBG_16_44_11	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__	bacteria07738.fna
bacteria07743	GCA_001797945.1	2.41	90	1.2903225806451613	Deltaproteobacteria bacterium RBG_16_58_17	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__	bacteria07743.fna
bacteria07753	GCA_001798155.1	 1.9	70.62211981566821	0.6451612903225806	Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_42_44	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__	bacteria07753.fna
bacteria07754	GCA_001798165.1	2.19	88.0414746543779	0.6451612903225806	Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_43_33	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__	bacteria07754.fna
bacteria07767	GCA_001798425.1	2.71	91.45161290322581	1.935483870967742	Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_55_12	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__GWC2-55-46;s__	bacteria07767.fna
bacteria07776	GCA_001798605.1	6.37	87.80337941628265	5.698924731182796	Deltaproteobacteria bacterium RIFOXYA12_FULL_58_15	d__Bacteria;p__Myxococcota;c__;o__;f__;g__;s__	bacteria07776.fna
bacteria07777	GCA_001798625.1	2.58	84.00921658986175	0.6810035842293907	Deltaproteobacteria bacterium RIFOXYA2_FULL_42_10	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__	bacteria07777.fna
bacteria07782	GCA_001798725.1	2.38	78.35411942554799	2.998236331569665	Deltaproteobacteria bacterium RIFOXYD12_FULL_53_23	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA2262;s__	bacteria07782.fna
bacteria07791	GCA_001798915.1	1.99	68.6405529953917	5.161290322580645	Deltaproteobacteria bacterium RBG_19FT_COMBO_43_11	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__	bacteria07791.fna
bacteria07807	GCA_001799225.1	3.77	84.98677248677248	1.587301587301587	Deltaproteobacteria bacterium RIFOXYD12_FULL_50_9	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__;s__	bacteria07807.fna
bacteria07809	GCA_001799275.1	3.84	93.20987654320989	1.1904761904761905	Deltaproteobacteria bacterium RIFOXYD12_FULL_57_12	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__;g__;s__	bacteria07809.fna
bacteria07810	GCA_001799285.1	3.04	94.27910052910053	0	Deltaproteobacteria bacterium RIFOXYD12_FULL_56_24	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA2262;s__	bacteria07810.fna
bacteria07814	GCA_001799365.1	4.51	91.90602166792644	0.8928571428571429	Desulfobacterales bacterium GWB2_56_26	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulforhopalus;s__	bacteria07814.fna
bacteria07815	GCA_001799395.1	4.74	97.41935483870968	0.9907834101382488	Desulfobacterales bacterium RIFOXYA12_FULL_46_15	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacula;s__	bacteria07815.fna
bacteria07820	GCA_001799485.1	2.78	77.90322580645162	0.6682027649769586	Desulfuromonadales bacterium GWC2_61_20	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__UBA2197;g__;s__	bacteria07820.fna
bacteria07821	GCA_001799505.1	 2.7	68.47311827956989	0.16129032258064516	Desulfuromonadales bacterium GWD2_54_10	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Pelobacter_C;s__	bacteria07821.fna
bacteria07828	GCA_001799645.1	2.74	89.59822948586994	2.247191011235955	Elusimicrobia bacterium GWA2_64_40	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__	bacteria07828.fna
bacteria07830	GCA_001799695.1	 4.2	83.89513108614233	1.6853932584269662	Elusimicrobia bacterium GWA2_69_24	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA1565;g__;s__	bacteria07830.fna
bacteria07831	GCA_001799715.1	2.87	89.66632618318012	1.1235955056179776	Elusimicrobia bacterium GWB2_63_16	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__	bacteria07831.fna
bacteria07832	GCA_001799735.1	3.06	92.84984678243106	1.1235955056179776	Elusimicrobia bacterium GWB2_63_22	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__	bacteria07832.fna
bacteria07835	GCA_001799795.1	1.36	60.36772216547498	1.1235955056179776	Elusimicrobia bacterium GWC2_61_19	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__	bacteria07835.fna
bacteria07840	GCA_001799895.1	3.29	88.38951310861422	2.247191011235955	Elusimicrobia bacterium GWD2_63_28	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__	bacteria07840.fna
bacteria07857	GCA_001800235.1	2.28	96.56311962987442	0	Elusimicrobia bacterium RIFOXYA12_FULL_49_49	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__;s__	bacteria07857.fna
bacteria07861	GCA_001800315.1	2.41	96.56311962987442	0	Elusimicrobia bacterium RIFOXYA2_FULL_47_53	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__;s__	bacteria07861.fna
bacteria07862	GCA_001800325.1	1.93	50.52975224819243	2.247191011235955	Elusimicrobia bacterium RIFOXYA2_FULL_40_6	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__CG1-02-37-114;f__XYA2-FULL-39-19;g__;s__	bacteria07862.fna
bacteria07867	GCA_001800425.1	1.84	75.71050892267019	0.20429009193054137	Elusimicrobia bacterium RIFOXYB1_FULL_48_9	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__;s__	bacteria07867.fna
bacteria07868	GCA_001800455.1	1.95	82.73748723186925	0	Elusimicrobia bacterium RIFOXYB12_FULL_50_12	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__;s__	bacteria07868.fna
bacteria07869	GCA_001800475.1	 2.4	96.56311962987442	0	Elusimicrobia bacterium RIFOXYB2_FULL_46_23	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__;s__	bacteria07869.fna
bacteria07870	GCA_001800495.1	 2.2	72.30367121312263	1.1235955056179776	Elusimicrobia bacterium RIFOXYB2_FULL_48_7	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__CG1-02-37-114;f__XYA2-FULL-39-19;g__;s__	bacteria07870.fna
bacteria07941	GCA_001802095.1	2.96	62.8858166922683	8.387096774193548	Geobacteraceae bacterium GWB2_52_12	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__;s__	bacteria07941.fna
bacteria07943	GCA_001802135.1	6.22	95.32411674347158	7.373271889400922	Geobacteraceae bacterium GWC2_58_44	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__	bacteria07943.fna
bacteria07997	GCA_001803235.1	10.6	95.27027027027027	5.603701527614572	Lentisphaerae bacterium RIFOXYA12_64_32	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__;g__;s__	bacteria07997.fna
bacteria08000	GCA_001803305.1	10.3	92.56756756756756	6.279377203290247	Lentisphaerae bacterium RIFOXYB12_FULL_65_16	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__;g__;s__	bacteria08000.fna
bacteria08015	GCA_001803605.1	2.29	92.27272727272727	0.9090909090909091	Nitrospirae bacterium GWA2_46_11	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9935;g__;s__	bacteria08015.fna
bacteria08017	GCA_001803635.1	2.47	96.36363636363636	0	Nitrospirae bacterium GWB2_47_37	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9935;g__;s__	bacteria08017.fna
bacteria08020	GCA_001803705.1	3.16	67.04545454545455	0.9090909090909091	Nitrospirae bacterium GWC2_56_14	d__Bacteria;p__Nitrospirota;c__UBA9217;o__UBA9217;f__UBA9217;g__;s__	bacteria08020.fna
bacteria08027	GCA_001803845.1	1.74	53.40530303030304	0	Nitrospirae bacterium RBG_19FT_COMBO_55_12	d__Bacteria;p__Nitrospirota;c__UBA9217;o__UBA9217;f__UBA9217;g__;s__	bacteria08027.fna
bacteria08032	GCA_001803945.1	1.93	94.54545454545455	0.9090909090909091	Nitrospirae bacterium RIFOXYA2_FULL_44_9	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__	bacteria08032.fna
bacteria08033	GCA_001803955.1	1.37	54.22474747474748	1.8181818181818181	Nitrospirae bacterium RIFOXYB2_FULL_43_5	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__	bacteria08033.fna
bacteria08078	GCA_001804865.1	5.05	91.38513513513513	4.083431257344301	Lentisphaerae bacterium GWF2_57_35	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__LD1-PB3;f__;g__;s__	bacteria08078.fna
bacteria08079	GCA_001804885.1	5.68	89.41441441441442	2.7027027027027026	Lentisphaerae bacterium RIFOXYA12_FULL_48_11	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__UBA8416;f__;g__;s__	bacteria08079.fna
bacteria08090	GCA_001805105.1	1.99	95.45454545454545	0.9090909090909091	Nitrospirae bacterium GWF2_44_13	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__	bacteria08090.fna
bacteria08100	GCA_001805295.1	1.68	77.34974747474747	1.1363636363636365	Nitrospirae bacterium RIFOXYC2_FULL_44_7	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__	bacteria08100.fna
bacteria08141	GCA_001806225.1	1.86	74.00921658986175	0.6451612903225806	Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_42_39	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__	bacteria08141.fna
bacteria08617	GCA_001825565.1	3.16	89.78494623655915	0.6451612903225806	Desulfuromonadaceae bacterium GWC2_58_13	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae_A;g__Desulfuromonas_D;s__	bacteria08617.fna
bacteria08626	GCA_001828265.1	4.89	68.55369106890404	0	Planctomycetes bacterium RBG_13_63_9	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Thermoguttaceae;g__;s__	bacteria08626.fna
bacteria08629	GCA_001828335.1	6.18	82.75862068965517	0	Planctomycetes bacterium RBG_16_64_12	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Thermoguttaceae;g__;s__	bacteria08629.fna
bacteria08669	GCA_001829125.1	 4.4	89.06666666666666	0.047058823529411764	Spirochaetes bacterium GWB1_27_13	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__;s__	bacteria08669.fna
bacteria08670	GCA_001829155.1	3.04	90.38334434897554	0	Spirochaetes bacterium GWB1_36_13	d__Bacteria;p__Spirochaetota;c__UBA6919;o__;f__;g__;s__	bacteria08670.fna
bacteria08671	GCA_001829165.1	4.96	82.37547892720306	8.25496342737722	Spirochaetes bacterium GWB1_59_5	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__UBA5200;s__	bacteria08671.fna
bacteria08672	GCA_001829185.1	 3.6	97.70114942528735	1.7241379310344827	Spirochaetes bacterium GWB1_60_80	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__;s__	bacteria08672.fna
bacteria08673	GCA_001829215.1	2.71	62.53333333333333	0	Spirochaetes bacterium GWB1_66_5	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__RBG-16-67-19;g__;s__	bacteria08673.fna
bacteria08675	GCA_001829245.1	3.48	97.70114942528735	1.7241379310344827	Spirochaetes bacterium GWC1_61_12	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__;s__	bacteria08675.fna
bacteria08677	GCA_001829295.1	3.59	97.70114942528735	1.7241379310344827	Spirochaetes bacterium GWD1_61_31	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__;s__	bacteria08677.fna
bacteria08678	GCA_001829315.1	4.03	97.4	3.2	Spirochaetes bacterium GWE1_32_154	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__;s__	bacteria08678.fna
bacteria08679	GCA_001829335.1	4.12	96.54666666666667	2.4	Spirochaetes bacterium GWE2_31_10	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__;s__	bacteria08679.fna
bacteria08680	GCA_001829345.1	 4.1	96.2	2.4	Spirochaetes bacterium GWF1_31_7	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__;s__	bacteria08680.fna
bacteria08681	GCA_001829375.1	 4.2	78.48	1.2	Spirochaetes bacterium GWF1_41_5	d__Bacteria;p__Spirochaetota;c__UBA12135;o__UBA12135;f__UBA12135;g__UBA12135;s__	bacteria08681.fna
bacteria08682	GCA_001829395.1	2.53	65.73033707865169	0	Spirochaetes bacterium GWF1_49_6	d__Bacteria;p__Spirochaetota;c__Brevinematia;o__Brevinematales;f__GWF1-51-8;g__GWF1-51-8;s__	bacteria08682.fna
bacteria08683	GCA_001829415.1	3.54	93.15628192032686	0.18726591760299624	Spirochaetes bacterium GWF1_51_8	d__Bacteria;p__Spirochaetota;c__Brevinematia;o__Brevinematales;f__GWF1-51-8;g__GWF1-51-8;s__	bacteria08683.fna
bacteria08685	GCA_001829455.1	3.56	89.65330769692963	2.3132848645076005	Spirochaetes bacterium RBG_13_51_14	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__RBG-16-49-21;s__	bacteria08685.fna
bacteria08687	GCA_001829495.1	 3.8	96.56311962987442	2.247191011235955	Spirochaetes bacterium RBG_16_49_21	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__RBG-16-49-21;s__	bacteria08687.fna
bacteria08688	GCA_001829505.1	 3.8	84.03294117647059	4	Spirochaetes bacterium RBG_16_67_19	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__RBG-16-67-19;g__;s__	bacteria08688.fna
bacteria08689	GCA_001829535.1	3.89	77.54509803921569	4.533333333333333	Spirochaetes bacterium RIFOXYB1_FULL_32_8	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__;s__	bacteria08689.fna
bacteria08704	GCA_001829835.1	2.02	74.87864823348694	0.16129032258064516	Syntrophobacterales bacterium GWF2_56_9	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__	bacteria08704.fna
bacteria08707	GCA_001829875.1	2.06	71.93548387096774	0.09472606246799793	Syntrophus sp. GWC2_56_31	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__	bacteria08707.fna
bacteria08719	GCA_001830155.1	3.79	60.485537190082646	2.840909090909091	Treponema sp. GWA1_62_8	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae_B;g__;s__	bacteria08719.fna
bacteria08741	GCA_001830585.1	4.08	83.46666666666665	0.4470588235294118	Spirochaetes bacterium GWD1_27_9	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__;s__	bacteria08741.fna
bacteria08742	GCA_001830615.1	3.62	96.55172413793103	2.8735632183908044	Spirochaetes bacterium GWE1_60_18	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__;s__	bacteria08742.fna
bacteria08743	GCA_001830635.1	3.59	97.70114942528735	1.7241379310344827	Spirochaetes bacterium GWF1_60_12	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__;s__	bacteria08743.fna
bacteria08744	GCA_001830645.1	3.43	76.83938779273464	1.530518163378204	Spirochaetes bacterium RIFOXYC1_FULL_54_7	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__UBA5200;s__	bacteria08744.fna
bacteria08753	GCA_001830835.1	 2.6	88.70967741935483	0.1971326164874552	Syntrophobacterales bacterium GWC2_56_13	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__	bacteria08753.fna
bacteria08763	GCA_001831025.1	4.53	84.0909090909091	2.272727272727273	Treponema sp. GWB1_62_6	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae_B;g__UBA12037;s__	bacteria08763.fna
bacteria08785	GCA_001854245.1	4.46	98.38709677419355	1.935483870967742	Desulfococcus multivorans 	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__	bacteria08785.fna
bacteria09073	GCA_001902295.1	4.51	99.3103448275862	2.0689655172413794	Clostridium kluyveri 	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_B;s__	bacteria09073.fna
bacteria09687	GCA_002009335.2	4.46	98.38709677419355	1.935483870967742	Desulfococcus multivorans 	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__	bacteria09687.fna
bacteria10831	GCA_002292015.1	1.92	81.81176168464303	0.9887005649717513	Firmicutes bacterium UBA993	d__Bacteria;p__Firmicutes_D;c__Dethiobacteria;o__DTU022;f__DTU022;g__;s__	bacteria10831.fna
bacteria10932	GCA_002294405.1	1.44	55.151515151515156	0	Anaerolineales bacterium UBA877	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__;s__	bacteria10932.fna
bacteria11094	GCA_002298125.1	2.98	96.8768472906404	2.282430213464696	Clostridium sp. UBA701	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__	bacteria11094.fna
bacteria11097	GCA_002298165.1	4.63	96.93548387096774	1.4516129032258065	Desulfarculales bacterium UBA702	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__UBA696;s__	bacteria11097.fna
bacteria11124	GCA_002298725.1	3.12	77.14770984001753	0	Desulfovibrio sp. UBA728	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__	bacteria11124.fna
bacteria11134	GCA_002298915.1	2.74	78.94736842105263	1.7543859649122806	Clostridium sp. UBA699	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__	bacteria11134.fna
bacteria11135	GCA_002298925.1	4.33	90.89861751152074	0.6451612903225806	Geobacter sp. UBA698	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Pelobacter_C;s__	bacteria11135.fna
bacteria11138	GCA_002298995.1	4.17	96.7741935483871	1.021505376344086	Desulfarculales bacterium UBA696	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__UBA696;s__	bacteria11138.fna
bacteria11166	GCA_002299555.1	2.66	86.48029439696106	1.7094017094017093	Candidatus Aminicenantes bacterium UBA647	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__;s__	bacteria11166.fna
bacteria11222	GCA_002304835.1	1.46	83.59929078014184	0	Firmicutes bacterium UBA1422	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__;s__	bacteria11222.fna
bacteria11230	GCA_002304995.1	3.42	92.58064516129032	3.3691756272401436	Syntrophaceae bacterium UBA1411	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__	bacteria11230.fna
bacteria11269	GCA_002305765.1	3.57	88.1720430107527	2.903225806451613	Deltaproteobacteria bacterium UBA1386	d__Bacteria;p__Desulfobacterota_B;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Delta-02;s__	bacteria11269.fna
bacteria11313	GCA_002306665.1	3.06	73.66863905325444	0.8875739644970414	Desulfovibrio sp. UBA1335	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__	bacteria11313.fna
bacteria11328	GCA_002306975.1	3.37	74.33521456172461	2.8104026845637584	Ruminococcaceae bacterium UBA1320	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Ruminiclostridium_D;s__	bacteria11328.fna
bacteria11330	GCA_002307015.1	4.54	81.24346917450366	2.2988505747126435	Spirochaetaceae bacterium UBA1318	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__;g__;s__	bacteria11330.fna
