genome_name	original_name	genome_size	completeness	redundancy	NCBI_taxonomy	gtdb_taxonomy	GTDB_phylum	NCBI_phylum
bacteria06500	GCA_001772415.1	1.78	88.03418803	1.709401709	candidate division WOR-1 bacterium RIFOXYA2_FULL_41_14	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__O2-12-FULL-45-9;f__O2-12-FULL-45-9;g__;s__	Margulisbacteria	WOR1
bacteria06501	GCA_001772435.1	1.71	88.46153846	0.854700855	candidate division WOR-1 bacterium RIFOXYA2_FULL_46_56	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__;g__;s__	Margulisbacteria	WOR1
bacteria06570	GCA_001773825.1	3.33	73.8034188	16.58119658	Candidatus Aminicenantes bacterium RBG_13_63_10	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__;g__;s__	Acidobacteriota	Acidobacteria
bacteria06661	GCA_001775685.1	3.31	65.18993352	18.37606838	Candidatus Aminicenantes bacterium RBG_13_59_9	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__;g__;s__	Acidobacteriota	Acidobacteria
bacteria06781	GCA_001778375.1	3	93.19233311	1.123595506	Candidatus Firestonebacteria bacterium RIFOXYD2_FULL_39_29	d__Bacteria;p__Firestonebacteria;c__D2-FULL-39-29;o__D2-FULL-39-29;f__D2-FULL-39-29;g__D2-FULL-39-29;s__	Firestonebacteria	Firestonebacteria
bacteria06881	GCA_001780375.1	3.13	94.31592862	2.247191011	Candidatus Firestonebacteria bacterium RIFOXYC2_FULL_39_67	d__Bacteria;p__Firestonebacteria;c__D2-FULL-39-29;o__D2-FULL-39-29;f__D2-FULL-39-29;g__D2-FULL-39-29;s__	Firestonebacteria	Firestonebacteria
bacteria07316	GCA_001789195.1	4.11	82.41758242	1.098901099	Candidatus Raymondbacteria bacterium RifOxyA12_full_50_37	d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__;g__;s__	Fibrobacterota	Raymondbacteria
bacteria07317	GCA_001789205.1	5.43	97.8021978	2.197802198	Candidatus Raymondbacteria bacterium RIFOXYA2_FULL_49_16	d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__;g__;s__	Fibrobacterota	Raymondbacteria
bacteria07318	GCA_001789215.1	4.91	74.17484476	0	Candidatus Raymondbacteria bacterium RifOxyB12_full_50_8	d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__;g__;s__	Fibrobacterota	Raymondbacteria
bacteria07319	GCA_001789245.1	4.83	85.06493506	1.098901099	Candidatus Raymondbacteria bacterium RifOxyC12_full_50_8	d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__;g__;s__	Fibrobacterota	Raymondbacteria
bacteria07320	GCA_001789275.1	5.34	96.50937298	2.197802198	Candidatus Raymondbacteria bacterium RIFOXYD12_FULL_49_13	d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__;g__;s__	Fibrobacterota	Raymondbacteria
bacteria07594	GCA_001794965.1	3.37	99.09090909	0.909090909	Chloroflexi bacterium GWD2_49_16	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__;s__	Chloroflexota	Chloroflexi
bacteria07622	GCA_001795535.1	2.08	65.38914491	2.004608295	Deltaproteobacteria bacterium GWA2_54_12	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__;s__	GWC2-55-46	Deltaproteobacteria
bacteria07623	GCA_001795545.1	2.74	94.83870968	1.935483871	Deltaproteobacteria bacterium GWA2_55_82	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__GWC2-55-46;s__	GWC2-55-46	Deltaproteobacteria
bacteria07624	GCA_001795575.1	2.34	92.43697479	1.680672269	Deltaproteobacteria bacterium GWB2_65_81	d__Bacteria;p__MBNT15;c__MBNT15;o__MBNT15;f__MBNT15;g__CG2-30-66-27;s__	MBNT15	Deltaproteobacteria
bacteria07662	GCA_001796335.1	3.37	99.09090909	0.909090909	Chloroflexi bacterium GWB2_49_20	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__;s__	Chloroflexota	Chloroflexi
bacteria07664	GCA_001796365.1	3.41	99.09090909	0.909090909	Chloroflexi bacterium GWC2_49_37	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__;s__	Chloroflexota	Chloroflexi
bacteria07704	GCA_001797165.1	2.85	42.9476584	2.181818182	Chloroflexi bacterium RIFOXYD12_FULL_57_15	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__;s__	Chloroflexota	Chloroflexi
bacteria07713	GCA_001797355.1	2.18	79.33179724	0.64516129	Deltaproteobacteria bacterium GWA2_43_19	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__	GWC2-55-46	Deltaproteobacteria
bacteria07716	GCA_001797415.1	2.24	72.3297491	2.580645161	Deltaproteobacteria bacterium GWA2_55_10	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__GWC2-55-46;s__	GWC2-55-46	Deltaproteobacteria
bacteria07719	GCA_001797465.1	2.63	94.83870968	2.258064516	Deltaproteobacteria bacterium GWB2_55_19	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__;s__	GWC2-55-46	Deltaproteobacteria
bacteria07723	GCA_001797525.1	5.45	97.8021978	2.197802198	Candidatus Raymondbacteria bacterium RIFOXYB2_FULL_49_35	d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__;g__;s__	Fibrobacterota	Raymondbacteria
bacteria07725	GCA_001797585.1	2.4	86.40706605	0	Deltaproteobacteria bacterium GWD2_42_10	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__	GWC2-55-46	Deltaproteobacteria
bacteria07729	GCA_001797665.1	2.44	87.88018433	0.64516129	Deltaproteobacteria bacterium GWF2_42_12	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__	GWC2-55-46	Deltaproteobacteria
bacteria07731	GCA_001797695.1	2.59	77.76753712	1.451612903	Deltaproteobacteria bacterium RBG_13_49_15	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2156;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria07733	GCA_001797745.1	2.54	80	5.340501792	Deltaproteobacteria bacterium RBG_13_52_11	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__RBG-16-54-18;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria07738	GCA_001797845.1	2.43	93.87096774	1.326164875	Deltaproteobacteria bacterium RBG_16_44_11	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__	Desulfobacterota	Deltaproteobacteria
bacteria07739	GCA_001797865.1	3.33	57.98771121	13.22580645	Deltaproteobacteria bacterium RBG_16_48_10	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria07743	GCA_001797945.1	2.41	90	1.290322581	Deltaproteobacteria bacterium RBG_16_58_17	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__	Desulfobacterota	Deltaproteobacteria
bacteria07753	GCA_001798155.1	1.9	70.62211982	0.64516129	Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_42_44	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__	GWC2-55-46	Deltaproteobacteria
bacteria07754	GCA_001798165.1	2.19	88.04147465	0.64516129	Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_43_33	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__	GWC2-55-46	Deltaproteobacteria
bacteria07767	GCA_001798425.1	2.71	91.4516129	1.935483871	Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_55_12	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__GWC2-55-46;s__	GWC2-55-46	Deltaproteobacteria
bacteria07776	GCA_001798605.1	6.37	87.80337942	5.698924731	Deltaproteobacteria bacterium RIFOXYA12_FULL_58_15	d__Bacteria;p__Myxococcota;c__;o__;f__;g__;s__	Myxococcota	Deltaproteobacteria
bacteria07777	GCA_001798625.1	2.58	84.00921659	0.681003584	Deltaproteobacteria bacterium RIFOXYA2_FULL_42_10	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__	GWC2-55-46	Deltaproteobacteria
bacteria07782	GCA_001798725.1	2.38	78.35411943	2.998236332	Deltaproteobacteria bacterium RIFOXYD12_FULL_53_23	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA2262;s__	Desulfobacterota	Deltaproteobacteria
bacteria07783	GCA_001798755.1	3.19	39.66308244	9.982078853	Deltaproteobacteria bacterium RBG_13_47_9	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria07791	GCA_001798915.1	1.99	68.640553	5.161290323	Deltaproteobacteria bacterium RBG_19FT_COMBO_43_11	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__	Desulfobacterota	Deltaproteobacteria
bacteria07807	GCA_001799225.1	3.77	84.98677249	1.587301587	Deltaproteobacteria bacterium RIFOXYD12_FULL_50_9	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria07809	GCA_001799275.1	3.84	93.20987654	1.19047619	Deltaproteobacteria bacterium RIFOXYD12_FULL_57_12	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria07810	GCA_001799285.1	3.04	94.27910053	0	Deltaproteobacteria bacterium RIFOXYD12_FULL_56_24	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA2262;s__	Desulfobacterota	Deltaproteobacteria
bacteria07814	GCA_001799365.1	4.51	91.90602167	0.892857143	Desulfobacterales bacterium GWB2_56_26	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulforhopalus;s__	Desulfobacterota	Deltaproteobacteria
bacteria07815	GCA_001799395.1	4.74	97.41935484	0.99078341	Desulfobacterales bacterium RIFOXYA12_FULL_46_15	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacula;s__	Desulfobacterota	Deltaproteobacteria
bacteria07820	GCA_001799485.1	2.78	77.90322581	0.668202765	Desulfuromonadales bacterium GWC2_61_20	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__UBA2197;g__;s__	Desulfuromonadota	Deltaproteobacteria
bacteria07821	GCA_001799505.1	2.7	68.47311828	0.161290323	Desulfuromonadales bacterium GWD2_54_10	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Pelobacter_C;s__	Desulfuromonadota	Deltaproteobacteria
bacteria07828	GCA_001799645.1	2.74	89.59822949	2.247191011	Elusimicrobia bacterium GWA2_64_40	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__	Elusimicrobiota	Elusimicrobia
bacteria07830	GCA_001799695.1	4.2	83.89513109	1.685393258	Elusimicrobia bacterium GWA2_69_24	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA1565;g__;s__	Elusimicrobiota	Elusimicrobia
bacteria07831	GCA_001799715.1	2.87	89.66632618	1.123595506	Elusimicrobia bacterium GWB2_63_16	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__	Elusimicrobiota	Elusimicrobia
bacteria07832	GCA_001799735.1	3.06	92.84984678	1.123595506	Elusimicrobia bacterium GWB2_63_22	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__	Elusimicrobiota	Elusimicrobia
bacteria07835	GCA_001799795.1	1.36	60.36772217	1.123595506	Elusimicrobia bacterium GWC2_61_19	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__	Elusimicrobiota	Elusimicrobia
bacteria07840	GCA_001799895.1	3.29	88.38951311	2.247191011	Elusimicrobia bacterium GWD2_63_28	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__	Elusimicrobiota	Elusimicrobia
bacteria07857	GCA_001800235.1	2.28	96.56311963	0	Elusimicrobia bacterium RIFOXYA12_FULL_49_49	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__;s__	Elusimicrobiota	Elusimicrobia
bacteria07861	GCA_001800315.1	2.41	96.56311963	0	Elusimicrobia bacterium RIFOXYA2_FULL_47_53	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__;s__	Elusimicrobiota	Elusimicrobia
bacteria07862	GCA_001800325.1	1.93	50.52975225	2.247191011	Elusimicrobia bacterium RIFOXYA2_FULL_40_6	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__CG1-02-37-114;f__XYA2-FULL-39-19;g__;s__	Elusimicrobiota	Elusimicrobia
bacteria07867	GCA_001800425.1	1.84	75.71050892	0.204290092	Elusimicrobia bacterium RIFOXYB1_FULL_48_9	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__;s__	Elusimicrobiota	Elusimicrobia
bacteria07868	GCA_001800455.1	1.95	82.73748723	0	Elusimicrobia bacterium RIFOXYB12_FULL_50_12	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__;s__	Elusimicrobiota	Elusimicrobia
bacteria07869	GCA_001800475.1	2.4	96.56311963	0	Elusimicrobia bacterium RIFOXYB2_FULL_46_23	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__;s__	Elusimicrobiota	Elusimicrobia
bacteria07870	GCA_001800495.1	2.2	72.30367121	1.123595506	Elusimicrobia bacterium RIFOXYB2_FULL_48_7	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__CG1-02-37-114;f__XYA2-FULL-39-19;g__;s__	Elusimicrobiota	Elusimicrobia
bacteria07941	GCA_001802095.1	2.96	62.88581669	8.387096774	Geobacteraceae bacterium GWB2_52_12	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__;s__	Desulfuromonadota	Deltaproteobacteria
bacteria07943	GCA_001802135.1	6.22	95.32411674	7.373271889	Geobacteraceae bacterium GWC2_58_44	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__	Desulfuromonadota	Deltaproteobacteria
bacteria07997	GCA_001803235.1	10.6	95.27027027	5.603701528	Lentisphaerae bacterium RIFOXYA12_64_32	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__;g__;s__	Verrucomicrobiota	Lentisphaerae
bacteria08000	GCA_001803305.1	10.3	92.56756757	6.279377203	Lentisphaerae bacterium RIFOXYB12_FULL_65_16	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__;g__;s__	Verrucomicrobiota	Lentisphaerae
bacteria08015	GCA_001803605.1	2.29	92.27272727	0.909090909	Nitrospirae bacterium GWA2_46_11	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9935;g__;s__	Nitrospirota	Nitrospirae
bacteria08017	GCA_001803635.1	2.47	96.36363636	0	Nitrospirae bacterium GWB2_47_37	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9935;g__;s__	Nitrospirota	Nitrospirae
bacteria08020	GCA_001803705.1	3.16	67.04545455	0.909090909	Nitrospirae bacterium GWC2_56_14	d__Bacteria;p__Nitrospirota;c__UBA9217;o__UBA9217;f__UBA9217;g__;s__	Nitrospirota	Nitrospirae
bacteria08027	GCA_001803845.1	1.74	53.40530303	0	Nitrospirae bacterium RBG_19FT_COMBO_55_12	d__Bacteria;p__Nitrospirota;c__UBA9217;o__UBA9217;f__UBA9217;g__;s__	Nitrospirota	Nitrospirae
bacteria08032	GCA_001803945.1	1.93	94.54545455	0.909090909	Nitrospirae bacterium RIFOXYA2_FULL_44_9	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__	Nitrospirota	Nitrospirae
bacteria08033	GCA_001803955.1	1.37	54.22474747	1.818181818	Nitrospirae bacterium RIFOXYB2_FULL_43_5	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__	Nitrospirota	Nitrospirae
bacteria08078	GCA_001804865.1	5.05	91.38513514	4.083431257	Lentisphaerae bacterium GWF2_57_35	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__LD1-PB3;f__;g__;s__	Verrucomicrobiota	Lentisphaerae
bacteria08079	GCA_001804885.1	5.68	89.41441441	2.702702703	Lentisphaerae bacterium RIFOXYA12_FULL_48_11	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__UBA8416;f__;g__;s__	Verrucomicrobiota	Lentisphaerae
bacteria08090	GCA_001805105.1	1.99	95.45454545	0.909090909	Nitrospirae bacterium GWF2_44_13	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__	Nitrospirota	Nitrospirae
bacteria08100	GCA_001805295.1	1.68	77.34974747	1.136363636	Nitrospirae bacterium RIFOXYC2_FULL_44_7	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__	Nitrospirota	Nitrospirae
bacteria08141	GCA_001806225.1	1.86	74.00921659	0.64516129	Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_42_39	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__	GWC2-55-46	Deltaproteobacteria
bacteria08617	GCA_001825565.1	3.16	89.78494624	0.64516129	Desulfuromonadaceae bacterium GWC2_58_13	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae_A;g__Desulfuromonas_D;s__	Desulfuromonadota	Deltaproteobacteria
bacteria08626	GCA_001828265.1	4.89	68.55369107	0	Planctomycetes bacterium RBG_13_63_9	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Thermoguttaceae;g__;s__	Planctomycetota	Planctomycetes
bacteria08629	GCA_001828335.1	6.18	82.75862069	0	Planctomycetes bacterium RBG_16_64_12	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Thermoguttaceae;g__;s__	Planctomycetota	Planctomycetes
bacteria08669	GCA_001829125.1	4.4	89.06666667	0.047058824	Spirochaetes bacterium GWB1_27_13	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__;s__	Spirochaetota	Spirochaetes
bacteria08670	GCA_001829155.1	3.04	90.38334435	0	Spirochaetes bacterium GWB1_36_13	d__Bacteria;p__Spirochaetota;c__UBA6919;o__;f__;g__;s__	Spirochaetota	Spirochaetes
bacteria08671	GCA_001829165.1	4.96	82.37547893	8.254963427	Spirochaetes bacterium GWB1_59_5	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__UBA5200;s__	Spirochaetota	Spirochaetes
bacteria08672	GCA_001829185.1	3.6	97.70114943	1.724137931	Spirochaetes bacterium GWB1_60_80	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__;s__	Spirochaetota	Spirochaetes
bacteria08673	GCA_001829215.1	2.71	62.53333333	0	Spirochaetes bacterium GWB1_66_5	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__RBG-16-67-19;g__;s__	Spirochaetota	Spirochaetes
bacteria08675	GCA_001829245.1	3.48	97.70114943	1.724137931	Spirochaetes bacterium GWC1_61_12	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__;s__	Spirochaetota	Spirochaetes
bacteria08677	GCA_001829295.1	3.59	97.70114943	1.724137931	Spirochaetes bacterium GWD1_61_31	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__;s__	Spirochaetota	Spirochaetes
bacteria08678	GCA_001829315.1	4.03	97.4	3.2	Spirochaetes bacterium GWE1_32_154	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__;s__	Spirochaetota	Spirochaetes
bacteria08679	GCA_001829335.1	4.12	96.54666667	2.4	Spirochaetes bacterium GWE2_31_10	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__;s__	Spirochaetota	Spirochaetes
bacteria08680	GCA_001829345.1	4.1	96.2	2.4	Spirochaetes bacterium GWF1_31_7	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__;s__	Spirochaetota	Spirochaetes
bacteria08681	GCA_001829375.1	4.2	78.48	1.2	Spirochaetes bacterium GWF1_41_5	d__Bacteria;p__Spirochaetota;c__UBA12135;o__UBA12135;f__UBA12135;g__UBA12135;s__	Spirochaetota	Spirochaetes
bacteria08682	GCA_001829395.1	2.53	65.73033708	0	Spirochaetes bacterium GWF1_49_6	d__Bacteria;p__Spirochaetota;c__Brevinematia;o__Brevinematales;f__GWF1-51-8;g__GWF1-51-8;s__	Spirochaetota	Spirochaetes
bacteria08683	GCA_001829415.1	3.54	93.15628192	0.187265918	Spirochaetes bacterium GWF1_51_8	d__Bacteria;p__Spirochaetota;c__Brevinematia;o__Brevinematales;f__GWF1-51-8;g__GWF1-51-8;s__	Spirochaetota	Spirochaetes
bacteria08685	GCA_001829455.1	3.56	89.6533077	2.313284865	Spirochaetes bacterium RBG_13_51_14	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__RBG-16-49-21;s__	Spirochaetota	Spirochaetes
bacteria08687	GCA_001829495.1	3.8	96.56311963	2.247191011	Spirochaetes bacterium RBG_16_49_21	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__RBG-16-49-21;s__	Spirochaetota	Spirochaetes
bacteria08688	GCA_001829505.1	3.8	84.03294118	4	Spirochaetes bacterium RBG_16_67_19	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__RBG-16-67-19;g__;s__	Spirochaetota	Spirochaetes
bacteria08689	GCA_001829535.1	3.89	77.54509804	4.533333333	Spirochaetes bacterium RIFOXYB1_FULL_32_8	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__;s__	Spirochaetota	Spirochaetes
bacteria08704	GCA_001829835.1	2.02	74.87864823	0.161290323	Syntrophobacterales bacterium GWF2_56_9	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__	Desulfobacterota	Deltaproteobacteria
bacteria08707	GCA_001829875.1	2.06	71.93548387	0.094726062	Syntrophus sp. GWC2_56_31	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__	Desulfobacterota	Deltaproteobacteria
bacteria08719	GCA_001830155.1	3.79	60.48553719	2.840909091	Treponema sp. GWA1_62_8	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae_B;g__;s__	Spirochaetota	Spirochaetes
bacteria08741	GCA_001830585.1	4.08	83.46666667	0.447058824	Spirochaetes bacterium GWD1_27_9	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__;s__	Spirochaetota	Spirochaetes
bacteria08742	GCA_001830615.1	3.62	96.55172414	2.873563218	Spirochaetes bacterium GWE1_60_18	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__;s__	Spirochaetota	Spirochaetes
bacteria08743	GCA_001830635.1	3.59	97.70114943	1.724137931	Spirochaetes bacterium GWF1_60_12	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__;s__	Spirochaetota	Spirochaetes
bacteria08744	GCA_001830645.1	3.43	76.83938779	1.530518163	Spirochaetes bacterium RIFOXYC1_FULL_54_7	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__UBA5200;s__	Spirochaetota	Spirochaetes
bacteria08753	GCA_001830835.1	2.6	88.70967742	0.197132616	Syntrophobacterales bacterium GWC2_56_13	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__	Desulfobacterota	Spirochaetes
bacteria08763	GCA_001831025.1	4.53	84.09090909	2.272727273	Treponema sp. GWB1_62_6	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae_B;g__UBA12037;s__	Spirochaetota	Spirochaetes
bacteria08785	GCA_001854245.1	4.46	98.38709677	1.935483871	Desulfococcus multivorans 	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria09073	GCA_001902295.1	4.51	99.31034483	2.068965517	Clostridium kluyveri 	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_B;s__	Firmicutes_A	Firmicutes
bacteria09687	GCA_002009335.2	4.46	98.38709677	1.935483871	Desulfococcus multivorans 	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria10831	GCA_002292015.1	1.92	81.81176168	0.988700565	Firmicutes bacterium UBA993	d__Bacteria;p__Firmicutes_D;c__Dethiobacteria;o__DTU022;f__DTU022;g__;s__	Firmicutes_D	Firmicutes
